player_name,total_wins,grand_slem_wins,atp1000_wins,atp500_wins,first_win,last_win
Federer R.,725,214,283,96,2000-01-03,2021-07-07
Djokovic N.,644,209,304,70,2004-09-14,2025-07-11
Nadal R.,595,164,261,96,2003-04-16,2024-07-21
Ferrer D.,496,106,154,96,2002-07-15,2019-04-25
Verdasco F.,488,84,138,85,2002-04-08,2023-04-04
Berdych T.,475,105,173,79,2003-08-25,2019-08-26
Gasquet R.,470,92,131,60,2002-04-15,2025-05-29
Wawrinka S.,466,118,146,65,2003-07-07,2025-07-23
Lopez F.,463,83,122,96,2001-02-12,2023-06-12
Murray A.,456,131,172,58,2005-04-19,2024-06-18
Monfils G.,436,94,121,71,2004-10-14,2025-07-22
Cilic M.,428,103,122,76,2005-07-25,2025-07-07
Youzhny M.,419,71,94,65,2000-04-10,2018-07-31
Robredo T.,412,82,123,71,2000-04-24,2022-04-18
Simon G.,402,73,126,59,2005-04-05,2022-11-03
Kohlschreiber P.,383,71,87,65,2002-04-29,2022-04-25
Fognini F.,379,73,97,55,2006-05-09,2025-06-30
Roddick A.,368,86,127,39,2000-03-23,2012-09-02
Seppi A.,366,58,81,62,2003-07-22,2022-06-07
Davydenko N.,362,55,99,65,2000-07-17,2014-05-20
Hewitt L.,356,108,100,25,2000-01-03,2015-08-05
Dimitrov G.,356,70,118,77,2009-02-12,2025-07-05
Isner J.,355,67,116,49,2007-07-31,2023-08-29
Tsonga J.W.,334,78,109,42,2004-09-15,2022-05-16
Karlovic I.,329,58,63,49,2001-12-31,2021-08-30
Haas T.,328,73,90,47,2000-01-10,2017-08-01
Nieminen J.,328,43,70,56,2000-11-20,2015-10-20
Querrey S.,327,66,69,45,2006-07-17,2022-08-30
Mannarino A.,326,56,70,42,2008-05-28,2025-07-16
Almagro N.,325,58,78,58,2004-04-26,2017-09-21
Ferrero J.C.,319,61,85,57,2000-01-10,2012-05-23
Melzer J.,315,50,66,54,2000-05-22,2018-10-22
Garcia-Lopez G.,309,51,49,44,2004-04-12,2019-05-28
Nishikori K.,305,70,99,72,2007-07-24,2025-04-02
Zverev A.,304,73,114,65,2013-07-15,2025-08-05
Ljubicic I.,294,43,89,38,2000-01-03,2012-02-28
Baghdatis M.,293,65,54,38,2005-01-04,2019-07-04
Anderson K.,292,64,87,46,2007-08-20,2023-07-18
Stepanek R.,289,52,93,37,2001-12-31,2017-01-19
Chela J.I.,287,48,81,37,2000-02-21,2012-06-25
Raonic M.,284,68,118,40,2009-08-12,2024-06-17
Blake J.,283,43,79,32,2000-03-06,2013-08-19
Mathieu P.H.,282,48,58,28,2000-07-24,2017-09-20
Chardy J.,276,47,70,39,2006-05-02,2023-07-04
Del Potro J.M.,273,50,92,67,2006-02-21,2022-02-08
Goffin D.,273,51,82,53,2011-01-04,2025-07-28
Moya C.,272,35,81,46,2000-03-13,2010-05-10
Benneteau J.,270,52,59,32,2002-05-27,2018-07-03
Monaco J.,263,38,71,41,2004-02-24,2017-04-11
Rublev A.,263,56,76,71,2014-10-14,2025-08-01
